CODCALLE,TEXTO,CAPACIDAD,UTM_X,UTM_Y,NOTAS,TIPO
52184,CALLE EL HUMILLADERO,3000.0,370277.094031,3145097.07982,,Papel_Carton
52717,CALLE PETUNIA,3000.0,369787.94512,3144297.18439,,Papel_Carton
10847,CALLE EL GARABATO,3000.0,370575.779541,3147196.6231,,Papel_Carton
56402,CALLE CHINAMADA,3000.0,372053.323846,3145120.61146,,Papel_Carton
10570,AVDA PRINCIPAL AÑAZA,3200.0,372391.310013,3144943.63939,,Papel_Carton
10540,CALLE LOS CALADOS,3200.0,372534.169481,3145035.7285,,Papel_Carton
10178,RBLA BENTACAYSE,3200.0,372651.803382,3144905.05872,,Papel_Carton
10570,AVDA PRINCIPAL AÑAZA,3200.0,372827.29,3145201.24361,,Papel_Carton
10570,AVDA PRINCIPAL AÑAZA,3200.0,372403.378276,3144729.64996,,Papel_Carton
10570,AVDA PRINCIPAL AÑAZA,3200.0,372455.614055,3144560.57329,,Papel_Carton
57877,CALLE DECANO CONSULAR JESUS RAMOS GONZALEZ,3200.0,372648.558143,3144592.45688,,Papel_Carton
10559,RBLA AÑAZA,3200.0,372828.055539,3145091.67319,,Papel_Carton
10570,AVDA PRINCIPAL AÑAZA,3200.0,372603.23,3145235.82,,Papel_Carton
20774,CALLE LUIS BRAILLE,3200.0,372916.413379,3144751.78227,,Papel_Carton
10570,AVDA PRINCIPAL AÑAZA,3200.0,373043.300396,3144986.5752,,Papel_Carton
10660,CALLE GABINO JIMENEZ,3200.0,372167.402571,3144239.65215,,Papel_Carton
10541,CALLE CATAIXA,3200.0,372035.119831,3144210.04181,,Papel_Carton
10747,CALLE IBAUTE,3200.0,371731.84,3144036.1,,Papel_Carton
10499,CALLE MAYANTIGO,3200.0,372378.057985,3144053.75252,,Papel_Carton
54612,CALLE COLUMBRETE,3200.0,372120.41117,3144999.76533,,Papel_Carton
10744,CALLE TAMARAN,3200.0,372165.516671,3145118.00334,,Papel_Carton
56007,CALLE GUAYRE,3200.0,372208.641577,3145215.43874,,Papel_Carton
58207,CALLE TANO,3200.0,371943.98,3145193.5,,Papel_Carton
56804,CALLE ATAMAN,3200.0,371909.892991,3145175.95251,,Papel_Carton
56804,CALLE ATAMAN,3200.0,371890.622991,3145347.944,,Papel_Carton
58401,CALLE CHACERQUEN,3200.0,372018.15,3145348.47,,Papel_Carton
10301,CALLE PUNTA DE ANAGA,3200.0,371950.111799,3145554.77016,,Papel_Carton
10301,CALLE PUNTA DE ANAGA,3200.0,371916.72344,3145512.22016,,Papel_Carton
10301,CALLE PUNTA DE ANAGA,3200.0,371832.743449,3145394.26126,,Papel_Carton
10312,CALLE PUNTA DE RASCA,3200.0,371738.163121,3145524.8428,,Papel_Carton
10316,CALLE PUNTA DEL DRAGO,3200.0,371923.596636,3145736.3128,,Papel_Carton
10301,CALLE PUNTA DE ANAGA,3200.0,371605.43,3145091.3,,Papel_Carton
57274,CTRA GENERAL DEL SUR,3200.0,372109.67199,3146337.50502,,Papel_Carton
50711,CTRA DEL SOBRADILLO,3200.0,371798.017169,3146436.19448,,Papel_Carton
50653,CALLE PETREL,3200.0,371750.619609,3146555.37605,,Papel_Carton
50711,CTRA DEL SOBRADILLO,3200.0,371668.297108,3146582.32175,,Papel_Carton
10244,AVDA LOS MAJUELOS,3200.0,371799.648664,3147261.44493,,Papel_Carton
10325,CALLE LA BREGA,3200.0,371690.46,3147236.69,,Papel_Carton
10585,CALLE VOLCAN DE LAS ARENAS,3200.0,371592.642011,3147166.5121,,Papel_Carton
50951,CALLE FAISAN,3200.0,371322.762509,3147034.52899,,Papel_Carton
